"Name","Type","Value","Priority","TTL"
"fillmorechristian.org","A","77.83.141.16","","14295"
"fillmorechristian.org","MX","mxa.mailgun.org","10","14400"
"fillmorechristian.org","MX","mxb.mailgun.org","10","14400"
"fillmorechristian.org","NS","ns-cloud-d1.googledomains.com","","21487"
"fillmorechristian.org","NS","ns-cloud-d2.googledomains.com","","21487"
"fillmorechristian.org","NS","ns-cloud-d3.googledomains.com","","21487"
"fillmorechristian.org","NS","ns-cloud-d4.googledomains.com","","21487"
"fillmorechristian.org","TXT","MS=ms48673064","","14400"
"fillmorechristian.org","TXT","v=spf1 include:mailgun.org ~all","","14400"
"www.fillmorechristian.org","CNAME","ssl.thechurchco.com","","14287"
